run_id,backend,shape,mode,threads,runner_exit_code,parquet_present,setup_parquet_present,summary_present,status,attempted_ops,successful_ops,failed_exception_ops,failed_slow_ops,success_rate,top_failure_category,top_failure_reason
exp3_dolt_bushy_1t_branch_tpcc,dolt,bushy,branch,1,0,1,0,1,SUCCESS,3562,3562,0,0,1.0,,
exp3_dolt_bushy_2t_branch_tpcc,dolt,bushy,branch,2,0,1,0,1,SUCCESS,4208,4208,0,0,1.0,,
exp3_dolt_bushy_4t_branch_tpcc,dolt,bushy,branch,4,0,1,0,1,SUCCESS,4742,4742,0,0,1.0,,
exp3_dolt_bushy_8t_branch_tpcc,dolt,bushy,branch,8,0,1,0,1,PARTIAL,4812,4773,0,39,0.9918952618453866,FAILURE_TIMEOUT,Slow operation: 0.163176s > 0.100000s
exp3_dolt_bushy_16t_branch_tpcc,dolt,bushy,branch,16,0,1,0,1,PARTIAL,4736,3987,0,749,0.8418496621621622,FAILURE_TIMEOUT,Slow operation: 0.130359s > 0.100000s
exp3_dolt_bushy_32t_branch_tpcc,dolt,bushy,branch,32,0,1,0,1,PARTIAL,4652,3133,0,1519,0.6734737747205503,FAILURE_TIMEOUT,Slow operation: 0.113686s > 0.100000s
exp3_dolt_bushy_64t_branch_tpcc,dolt,bushy,branch,64,0,1,0,1,PARTIAL,4656,2712,0,1944,0.5824742268041238,FAILURE_TIMEOUT,Slow operation: 0.200212s > 0.100000s
exp3_dolt_bushy_128t_branch_tpcc,dolt,bushy,branch,128,0,1,0,1,PARTIAL,4706,2567,0,2139,0.5454738631534212,FAILURE_TIMEOUT,Slow operation: 0.793995s > 0.100000s
exp3_dolt_bushy_256t_branch_tpcc,dolt,bushy,branch,256,0,1,0,1,PARTIAL,4994,2654,0,2340,0.5314377252703244,FAILURE_TIMEOUT,Slow operation: 0.127445s > 0.100000s
exp3_dolt_bushy_512t_branch_tpcc,dolt,bushy,branch,512,0,1,0,1,PARTIAL,5036,2644,0,2392,0.5250198570293884,FAILURE_TIMEOUT,Slow operation: 0.104660s > 0.100000s
exp3_dolt_bushy_1024t_branch_tpcc,dolt,bushy,branch,1024,0,1,0,1,PARTIAL,6058,3132,0,2926,0.5170023109937273,FAILURE_TIMEOUT,Slow operation: 0.347716s > 0.100000s
exp3_dolt_bushy_1t_crud_tpcc,dolt,bushy,crud,1,0,1,1,1,SUCCESS,4577,4577,0,0,1.0,,
exp3_dolt_bushy_2t_crud_tpcc,dolt,bushy,crud,2,0,1,1,1,SUCCESS,7648,7648,0,0,1.0,,
exp3_dolt_bushy_4t_crud_tpcc,dolt,bushy,crud,4,0,1,1,1,SUCCESS,9993,9993,0,0,1.0,,
exp3_dolt_bushy_8t_crud_tpcc,dolt,bushy,crud,8,0,1,1,1,SUCCESS,14036,14036,0,0,1.0,,
